shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20183,-35.190616,149.036028,10001
20183,-35.190650,149.036269,10002
20183,-35.190676,149.036336,10003
20183,-35.190744,149.036382,10004
20183,-35.190910,149.036355,10005
20183,-35.190889,149.036207,10006
20183,-35.190812,149.035689,10007
20183,-35.190786,149.035472,10008
20183,-35.190786,149.035472,20001
20183,-35.190782,149.035433,20002
20183,-35.190787,149.035152,20003
20183,-35.190832,149.034887,20004
20183,-35.190909,149.034653,20005
20183,-35.190986,149.034491,20006
20183,-35.191114,149.034294,20007
20183,-35.191285,149.034111,20008
20183,-35.191403,149.034017,20009
20183,-35.192258,149.033526,20010
20183,-35.192868,149.033181,20011
20183,-35.193060,149.033087,20012
20183,-35.193219,149.033050,20013
20183,-35.193219,149.033050,30001
20183,-35.193362,149.033016,30002
20183,-35.193800,149.033014,30003
20183,-35.193796,149.031821,30004
20183,-35.193749,149.031362,30005
20183,-35.193726,149.031240,30006
20183,-35.193726,149.031240,40001
20183,-35.193684,149.031023,40002
20183,-35.193620,149.030668,40003
20183,-35.193612,149.030512,40004
20183,-35.193642,149.030409,40005
20183,-35.193620,149.030289,40006
20183,-35.193574,149.030225,40007
20183,-35.193482,149.030185,40008
20183,-35.193282,149.029950,40009
20183,-35.193272,149.029934,40010
20183,-35.192996,149.029501,40011
20183,-35.192661,149.029109,40012
20183,-35.192270,149.028772,40013
20183,-35.191854,149.028516,40014
20183,-35.191612,149.028400,40015
20183,-35.191612,149.028400,50001
20183,-35.190553,149.027897,50002
20183,-35.190221,149.027678,50003
20183,-35.190095,149.027578,50004
20183,-35.189802,149.027299,50005
20183,-35.189498,149.026925,50006
20183,-35.189243,149.026512,50007
20183,-35.189205,149.026430,50008
20183,-35.189205,149.026430,60001
20183,-35.189060,149.026123,60002
20183,-35.189034,149.025813,60003
20183,-35.189035,149.025797,60004
20183,-35.189065,149.025747,60005
20183,-35.189086,149.025621,60006
20183,-35.189065,149.025542,60007
20183,-35.189014,149.025469,60008
20183,-35.188974,149.025442,60009
20183,-35.188816,149.025137,60010
20183,-35.188769,149.025004,60011
20183,-35.188733,149.024552,60012
20183,-35.188744,149.024048,60013
20183,-35.188808,149.023452,60014
20183,-35.188835,149.023291,60015
20183,-35.188910,149.022935,60016
20183,-35.188924,149.022874,60017
20183,-35.189000,149.022596,60018
20183,-35.189192,149.022040,60019
20183,-35.189356,149.021687,60020
20183,-35.189356,149.021687,70001
20183,-35.189460,149.021462,70002
20183,-35.189781,149.020929,70003
20183,-35.190145,149.020455,70004
20183,-35.190568,149.020022,70005
20183,-35.191012,149.019666,70006
20183,-35.191548,149.019340,70007
20183,-35.192043,149.019137,70008
20183,-35.193109,149.018804,70009
20183,-35.193109,149.018804,80001
20183,-35.193580,149.018658,80002
20183,-35.193833,149.018553,80003
20183,-35.194193,149.018456,80004
20183,-35.194290,149.018490,80005
20183,-35.194531,149.018783,80006
20183,-35.194904,149.019669,80007
20183,-35.194924,149.019865,80008
20183,-35.194914,149.019891,80009
20183,-35.194923,149.019993,80010
20183,-35.194962,149.020039,80011
20183,-35.194988,149.020052,80012
20183,-35.195138,149.020224,80013
20183,-35.195194,149.020354,80014
20183,-35.195194,149.020354,90001
20183,-35.195420,149.020878,90002
20183,-35.195555,149.021132,90003
20183,-35.195765,149.021408,90004
20183,-35.195990,149.021605,90005
20183,-35.196245,149.021753,90006
20183,-35.196521,149.021840,90007
20183,-35.196828,149.021866,90008
20183,-35.196937,149.021887,90009
20183,-35.197020,149.021841,90010
20183,-35.197143,149.021808,90011
20183,-35.197195,149.021787,90012
20183,-35.197195,149.021787,100001
20183,-35.197368,149.021716,100002
20183,-35.197630,149.021546,100003
20183,-35.197823,149.021440,100004
20183,-35.197863,149.021438,100005
20183,-35.197921,149.021384,100006
20183,-35.197933,149.021333,100007
20183,-35.197933,149.021311,100008
20183,-35.198020,149.021108,100009
20183,-35.198029,149.021067,100010
