shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"1001","-35.20905","149.14735","1"
"1002","-35.2090473","149.1473109","1"
"1002","-35.2088921","149.147337","2"
"1002","-35.2087246","149.1473652","3"
"1002","-35.2085356","149.1473973","4"
"1002","-35.2084184","149.1474197","5"
"1002","-35.2082412","149.1474579","6"
"1002","-35.2080555","149.1475024","7"
"1002","-35.2078681","149.1475468","8"
"1002","-35.2076783","149.1475927","9"
"1002","-35.2074783","149.1476397","10"
"1002","-35.2072884","149.1476863","11"
"1002","-35.2070932","149.1477328","12"
"1002","-35.206904","149.1477765","13"
"1002","-35.2067075","149.1478236","14"
"1002","-35.2065051","149.1478728","15"
"1002","-35.2063159","149.1479179","16"
"1002","-35.2061284","149.1479631","17"
"1002","-35.2059314","149.1480095","18"
"1002","-35.2057446","149.1480561","19"
"1002","-35.2055518","149.148099","20"
"1002","-35.2053655","149.148145","21"
"1002","-35.2051757","149.1481915","22"
"1002","-35.2049829","149.1482359","23"
"1002","-35.204787","149.148283","24"
"1002","-35.2045978","149.1483289","25"
"1002","-35.204405","149.1483732","26"
"1002","-35.2042139","149.1484198","27"
"1002","-35.2040229","149.1484649","28"
"1002","-35.2038307","149.1485099","29"
"1002","-35.2036385","149.1485564","30"
"1002","-35.2034474","149.1486023","31"
"1002","-35.2032564","149.1486481","32"
"1002","-35.2030642","149.1486939","33"
"1002","-35.2028731","149.1487397","34"
"1002","-35.2026821","149.1487855","35"
"1002","-35.2024911","149.1488313","36"
"1002","-35.2023","149.1488772","37"
"1002","-35.2021108","149.1489208","38"
"1002","-35.2019192","149.1489666","39"
"1002","-35.2017276","149.1490125","40"
"1002","-35.2015359","149.1490583","41"
"1002","-35.201345","149.1491012","42"
"1002","-35.2011566","149.1491304","43"
"1002","-35.2010017","149.1491539","44"
"1002","-35.2008637","149.1491728","45"
"1002","-35.2007057","149.1492049","46"
"1002","-35.2005386","149.1492456","47"
"1002","-35.2003745","149.1492863","48"
"1002","-35.2001775","149.1493305","49"
"1002","-35.1999865","149.1493748","50"
"1002","-35.1997942","149.1494221","51"
"1002","-35.1996056","149.1494665","52"
"1002","-35.1994181","149.1495132","53"
"1002","-35.1992426","149.1495579","54"
"1002","-35.1990808","149.1496009","55"
"1002","-35.19891","149.1496494","56"
"1002","-35.1987387","149.1496943","57"
"1002","-35.1985644","149.1497406","58"
"1002","-35.1983906","149.1497861","59"
"1002","-35.198211","149.1498271","60"
"1002","-35.1980319","149.1498711","61"
"1002","-35.1978547","149.1499122","62"
"1002","-35.1976792","149.1499562","63"
"1002","-35.1974858","149.1500005","64"
"1002","-35.1972954","149.1500456","65"
"1002","-35.1971037","149.1500922","66"
"1002","-35.1969115","149.1501365","67"
"1002","-35.1967169","149.1501815","68"
"1002","-35.1965247","149.150228","69"
"1002","-35.196333","149.150276","70"
"1002","-35.1961378","149.1503209","71"
"1002","-35.1959474","149.1503668","72"
"1002","-35.1957603","149.1504101","73"
"1002","-35.1947012","149.1506644","74"
"1002","-35.1942362","149.1507593","75"
"1002","-35.1941551","149.1507735","76"
"1002","-35.1940636","149.1507889","77"
"1002","-35.1938809","149.1508201","78"
"1002","-35.1937024","149.1508618","79"
"1002","-35.1935372","149.1508982","80"
"1002","-35.1934216","149.1509264","81"
"1002","-35.1931797","149.1509832","82"
"1002","-35.1930007","149.1510249","83"
"1002","-35.1928532","149.1510654","84"
"1002","-35.1926793","149.151124","85"
"1002","-35.1925089","149.1511798","86"
"1002","-35.1923513","149.1512257","87"
"1002","-35.1921585","149.1512715","88"
"1002","-35.1919747","149.1513131","89"
"1002","-35.1917837","149.1513561","90"
"1002","-35.1915852","149.151385","91"
"1002","-35.191397","149.1514032","92"
"1002","-35.1911989","149.1514104","93"
"1002","-35.1910077","149.1514002","94"
"1002","-35.190816","149.1513828","95"
"1002","-35.1906383","149.1513498","96"
"1002","-35.1904471","149.1513026","97"
"1002","-35.1902603","149.1512461","98"
"1002","-35.1900873","149.1511798","99"
"1002","-35.1899075","149.1510996","100"
"1002","-35.1897616","149.1510231","101"
"1002","-35.1896193","149.1509387","102"
"1002","-35.189479","149.1508486","103"
"1002","-35.189336","149.1507409","104"
"1002","-35.1891879","149.1506193","105"
"1002","-35.1890441","149.1504892","106"
"1002","-35.1889035","149.1503489","107"
"1002","-35.1887655","149.1501963","108"
"1002","-35.188628","149.1500162","109"
"1002","-35.1884941","149.1498311","110"
"1002","-35.1883566","149.1496154","111"
"1002","-35.1882319","149.1493869","112"
"1002","-35.1881255","149.1491669","113"
