trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
"712","07:36:16","07:36:36","8111","1","Well Station Drive","0","0","1"
"712","07:38:20","07:38:40","8109","2","Nullarbor Avenue","0","0","1"
"712","07:39:51","07:40:11","8107","3","Mapleton Avenue","0","0","1"
"712","07:41:45","07:42:05","8105","4","Manning Clark Crescent","0","0","1"
"712","07:43:43","07:43:43","8100","5","Gungahlin Place","0","0","1"
"780","08:00:00","08:00:00","8100","1","Gungahlin Place","0","0","1"
"780","08:02:04","08:02:24","8104","2","Manning Clark Crescent","0","0","1"
"780","08:04:04","08:04:24","8106","3","Mapleton Avenue","0","0","1"
"780","08:05:40","08:06:00","8108","4","Nullarbor Avenue","0","0","1"
"780","08:07:31","08:07:51","8110","5","Well Station Drive","0","0","1"
"780","08:11:09","08:11:29","8114","6","EPIC and Racecourse","0","0","1"
"780","08:13:25","08:13:45","8116","7","Phillip Avenue","0","0","1"
"780","08:15:34","08:15:54","8118","8","Swinden Street","0","0","1"
"780","08:17:17","08:17:37","8120","9","Dickson Interchange","0","0","1"
"780","08:19:17","08:19:37","8122","10","Macarthur Avenue","0","0","1"
"780","08:20:35","08:20:55","8124","11","Ipima Street","0","0","1"
"780","08:22:13","08:22:33","8126","12","Elouera Street","0","0","1"
"780","08:24:00","08:24:00","8129","13","Alinga Street","0","0","1"
"718","08:30:00","08:30:00","8129","1","Alinga Street","0","0","1"
"718","08:31:54","08:32:14","8127","2","Elouera Street","0","0","1"
"718","08:33:24","08:33:44","8125","3","Ipima Street","0","0","1"
"718","08:34:45","08:35:05","8123","4","Macarthur Avenue","0","0","1"
"718","08:36:44","08:37:04","8121","5","Dickson Interchange","0","0","1"
"718","08:38:41","08:39:01","8119","6","Swinden Street","0","0","1"
"718","08:40:45","08:41:05","8117","7","Phillip Avenue","0","0","1"
"718","08:43:00","08:43:20","8115","8","EPIC and Racecourse","0","0","1"
"718","08:46:33","08:46:53","8111","9","Well Station Drive","0","0","1"
"718","08:48:37","08:48:57","8109","10","Nullarbor Avenue","0","0","1"
"718","08:50:08","08:50:28","8107","11","Mapleton Avenue","0","0","1"
"718","08:52:02","08:52:22","8105","12","Manning Clark Crescent","0","0","1"
"718","08:54:00","08:54:00","8100","13","Gungahlin Place","0","0","1"
"784","09:00:00","09:00:00","8100","1","Gungahlin Place","0","0","1"
"784","09:02:04","09:02:24","8104","2","Manning Clark Crescent","0","0","1"
"784","09:04:04","09:04:24","8106","3","Mapleton Avenue","0","0","1"
"784","09:05:40","09:06:00","8108","4","Nullarbor Avenue","0","0","1"
"784","09:07:31","09:07:51","8110","5","Well Station Drive","0","0","1"
"784","09:11:09","09:11:29","8114","6","EPIC and Racecourse","0","0","1"
"784","09:13:25","09:13:45","8116","7","Phillip Avenue","0","0","1"
"784","09:15:34","09:15:54","8118","8","Swinden Street","0","0","1"
"784","09:17:17","09:17:37","8120","9","Dickson Interchange","0","0","1"
"784","09:19:17","09:19:37","8122","10","Macarthur Avenue","0","0","1"
"784","09:20:35","09:20:55","8124","11","Ipima Street","0","0","1"
"784","09:22:13","09:22:33","8126","12","Elouera Street","0","0","1"
"784","09:24:00","09:24:00","8129","13","Alinga Street","0","0","1"
"722","09:30:00","09:30:00","8129","1","Alinga Street","0","0","1"
"722","09:31:54","09:32:14","8127","2","Elouera Street","0","0","1"
"722","09:33:24","09:33:44","8125","3","Ipima Street","0","0","1"
"722","09:34:45","09:35:05","8123","4","Macarthur Avenue","0","0","1"
"722","09:36:44","09:37:04","8121","5","Dickson Interchange","0","0","1"
"722","09:38:41","09:39:01","8119","6","Swinden Street","0","0","1"
"722","09:40:45","09:41:05","8117","7","Phillip Avenue","0","0","1"
"722","09:43:00","09:43:20","8115","8","EPIC and Racecourse","0","0","1"
"722","09:46:33","09:46:53","8111","9","Well Station Drive","0","0","1"
"722","09:48:37","09:48:57","8109","10","Nullarbor Avenue","0","0","1"
"722","09:50:08","09:50:28","8107","11","Mapleton Avenue","0","0","1"
"722","09:52:02","09:52:22","8105","12","Manning Clark Crescent","0","0","1"
"722","09:54:00","09:54:00","8100","13","Gungahlin Place","0","0","1"
"788","10:00:00","10:00:00","8100","1","Gungahlin Place","0","0","1"
"788","10:02:04","10:02:24","8104","2","Manning Clark Crescent","0","0","1"
"788","10:04:04","10:04:24","8106","3","Mapleton Avenue","0","0","1"
"788","10:05:40","10:06:00","8108","4","Nullarbor Avenue","0","0","1"
"788","10:07:31","10:07:51","8110","5","Well Station Drive","0","0","1"
"788","10:11:09","10:11:29","8114","6","EPIC and Racecourse","0","0","1"
"788","10:13:25","10:13:45","8116","7","Phillip Avenue","0","0","1"
"788","10:15:34","10:15:54","8118","8","Swinden Street","0","0","1"
"788","10:17:17","10:17:37","8120","9","Dickson Interchange","0","0","1"
"788","10:19:17","10:19:37","8122","10","Macarthur Avenue","0","0","1"
"788","10:20:35","10:20:55","8124","11","Ipima Street","0","0","1"
"788","10:22:13","10:22:33","8126","12","Elouera Street","0","0","1"
"788","10:24:00","10:24:00","8129","13","Alinga Street","0","0","1"
"726","10:30:00","10:30:00","8129","1","Alinga Street","0","0","1"
"726","10:31:54","10:32:14","8127","2","Elouera Street","0","0","1"
"726","10:33:24","10:33:44","8125","3","Ipima Street","0","0","1"
"726","10:34:45","10:35:05","8123","4","Macarthur Avenue","0","0","1"
"726","10:36:44","10:37:04","8121","5","Dickson Interchange","0","0","1"
"726","10:38:41","10:39:01","8119","6","Swinden Street","0","0","1"
"726","10:40:45","10:41:05","8117","7","Phillip Avenue","0","0","1"
"726","10:43:00","10:43:20","8115","8","EPIC and Racecourse","0","0","1"
"726","10:46:33","10:46:53","8111","9","Well Station Drive","0","0","1"
"726","10:48:37","10:48:57","8109","10","Nullarbor Avenue","0","0","1"
"726","10:50:08","10:50:28","8107","11","Mapleton Avenue","0","0","1"
"726","10:52:02","10:52:22","8105","12","Manning Clark Crescent","0","0","1"
"726","10:54:00","10:54:00","8100","13","Gungahlin Place","0","0","1"
"792","11:00:00","11:00:00","8100","1","Gungahlin Place","0","0","1"
"792","11:02:04","11:02:24","8104","2","Manning Clark Crescent","0","0","1"
"792","11:04:04","11:04:24","8106","3","Mapleton Avenue","0","0","1"
"792","11:05:40","11:06:00","8108","4","Nullarbor Avenue","0","0","1"
"792","11:07:31","11:07:51","8110","5","Well Station Drive","0","0","1"
"792","11:11:09","11:11:29","8114","6","EPIC and Racecourse","0","0","1"
"792","11:13:25","11:13:45","8116","7","Phillip Avenue","0","0","1"
"792","11:15:34","11:15:54","8118","8","Swinden Street","0","0","1"
"792","11:17:17","11:17:37","8120","9","Dickson Interchange","0","0","1"
"792","11:19:17","11:19:37","8122","10","Macarthur Avenue","0","0","1"
"792","11:20:35","11:20:55","8124","11","Ipima Street","0","0","1"
"792","11:22:13","11:22:33","8126","12","Elouera Street","0","0","1"
"792","11:24:00","11:24:00","8129","13","Alinga Street","0","0","1"
"730","11:30:00","11:30:00","8129","1","Alinga Street","0","0","1"
"730","11:31:54","11:32:14","8127","2","Elouera Street","0","0","1"
"730","11:33:24","11:33:44","8125","3","Ipima Street","0","0","1"
"730","11:34:45","11:35:05","8123","4","Macarthur Avenue","0","0","1"
"730","11:36:44","11:37:04","8121","5","Dickson Interchange","0","0","1"
"730","11:38:41","11:39:01","8119","6","Swinden Street","0","0","1"
"730","11:40:45","11:41:05","8117","7","Phillip Avenue","0","0","1"
