stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding,parent_station
"8100","Gungahlin Place Platform","-35.185639","149.135481","https://cmet.com.au/light-rail-stops/gungahlin-place/","0","0","GGN"
"8101","Gungahlin Place Platform","-35.185639","149.135481","https://cmet.com.au/light-rail-stops/gungahlin-place/","0","0","GGN"
"GGN","Gungahlin Place","-35.185639","149.135481","https://cmet.com.au/light-rail-stops/gungahlin-place/","1","0",""
"8104","Manning Clark Crescent Platform","-35.186986","149.143372","https://cmet.com.au/light-rail-stops/manning-clark-north/","0","0","MCK"
"8105","Manning Clark Crescent Platform","-35.186986","149.143372","https://cmet.com.au/light-rail-stops/manning-clark-north/","0","0","MCK"
"MCK","Manning Clark Crescent","-35.186986","149.143372","https://cmet.com.au/light-rail-stops/manning-clark-north/","1","0",""
"8106","Mapleton Avenue Platform","-35.193381","149.150972","https://cmet.com.au/light-rail-stops/mapleton-avenue/","0","0","MPN"
"8107","Mapleton Avenue Platform","-35.193381","149.150972","https://cmet.com.au/light-rail-stops/mapleton-avenue/","0","0","MPN"
"MPN","Mapleton Avenue","-35.193381","149.150972","https://cmet.com.au/light-rail-stops/mapleton-avenue/","1","0",""
"8108","Nullarbor Avenue Platform","-35.20055","149.149294","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","0","0","NLR"
"8109","Nullarbor Avenue Platform","-35.20055","149.149294","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","0","0","NLR"
"NLR","Nullarbor Avenue","-35.20055","149.149294","https://cmet.com.au/light-rail-stops/nullarbor-avenue/","1","0",""
"8110","Well Station Drive Platform","-35.20905","149.14735","https://cmet.com.au/light-rail-stops/well-station-drive/","0","0","WSN"
"8111","Well Station Drive Platform","-35.20905","149.14735","https://cmet.com.au/light-rail-stops/well-station-drive/","0","0","WSN"
"WSN","Well Station Drive","-35.20905","149.14735","https://cmet.com.au/light-rail-stops/well-station-drive/","1","0",""
"8114","EPIC and Racecourse Platform","-35.2285","149.14422","https://cmet.com.au/light-rail-stops/epic-racecourse/","0","0","EPC"
"8115","EPIC and Racecourse Platform","-35.2285","149.14422","https://cmet.com.au/light-rail-stops/epic-racecourse/","0","0","EPC"
"EPC","EPIC and Racecourse","-35.2285","149.14422","https://cmet.com.au/light-rail-stops/epic-racecourse/","1","0",""
"8116","Phillip Avenue Platform","-35.235794","149.143928","https://cmet.com.au/light-rail-stops/phillip-avenue/","0","0","PLP"
"8117","Phillip Avenue Platform","-35.235794","149.143928","https://cmet.com.au/light-rail-stops/phillip-avenue/","0","0","PLP"
"PLP","Phillip Avenue","-35.235794","149.143928","https://cmet.com.au/light-rail-stops/phillip-avenue/","1","0",""
"8118","Swinden Street Platform","-35.24447","149.13462","https://cmet.com.au/light-rail-stops/swinden-street/","0","0","SWN"
"8119","Swinden Street Platform","-35.24447","149.13462","https://cmet.com.au/light-rail-stops/swinden-street/","0","0","SWN"
"SWN","Swinden Street","-35.24447","149.13462","https://cmet.com.au/light-rail-stops/swinden-street/","1","0",""
"8120","Dickson Platform","-35.250558","149.133739","https://cmet.com.au/light-rail-stops/dickson-interchange/","0","0","DKN"
"8121","Dickson Platform","-35.250558","149.133739","https://cmet.com.au/light-rail-stops/dickson-interchange/","0","0","DKN"
"DKN","Dickson Interchange","-35.250558","149.133739","https://cmet.com.au/light-rail-stops/dickson-interchange/","1","0",""
"8122","Macarthur Avenue Platform","-35.260158","149.132228","https://cmet.com.au/light-rail-stops/macarthur-avenue/","0","0","MCR"
"8123","Macarthur Avenue Platform","-35.260158","149.132228","https://cmet.com.au/light-rail-stops/macarthur-avenue/","0","0","MCR"
"MCR","Macarthur Avenue","-35.260158","149.132228","https://cmet.com.au/light-rail-stops/macarthur-avenue/","1","0",""
"8124","Ipima Street Platform","-35.265897","149.131283","https://cmet.com.au/light-rail-stops/ipima-street/","0","0","IPA"
"8125","Ipima Street Platform","-35.265897","149.131283","https://cmet.com.au/light-rail-stops/ipima-street/","0","0","IPA"
"IPA","Ipima Street","-35.265897","149.131283","https://cmet.com.au/light-rail-stops/ipima-street/","1","0",""
"8126","Elouera Street Platform","-35.272617","149.130172","https://cmet.com.au/light-rail-stops/elouera-street/","0","0","ELA"
"8127","Elouera Street Platform","-35.272617","149.130172","https://cmet.com.au/light-rail-stops/elouera-street/","0","0","ELA"
"ELA","Elouera Street","-35.272617","149.130172","https://cmet.com.au/light-rail-stops/elouera-street/","1","0",""
"8128","Alinga Street Platform","-35.277933","149.129331","https://cmet.com.au/light-rail-stops/alinga-street-city/","0","0","ALG"
"8129","Alinga Street Platform","-35.277933","149.129331","https://cmet.com.au/light-rail-stops/alinga-street-city/","0","0","ALG"
"ALG","Alinga Street","-35.277933","149.129331","https://cmet.com.au/light-rail-stops/alinga-street-city/","1","0",""
