route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"NIS","SU","712","Gungahlin Pl","0","3","1007","1","1"
"ACTO001","SU","780","Alinga St","1","3","1003","1","1"
"ACTO001","SU","718","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","784","Alinga St","1","3","1003","1","1"
"ACTO001","SU","722","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","788","Alinga St","1","3","1003","1","1"
"ACTO001","SU","726","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","792","Alinga St","1","3","1003","1","1"
"ACTO001","SU","730","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","796","Alinga St","1","3","1003","1","1"
"ACTO001","SU","734","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","800","Alinga St","1","3","1003","1","1"
"ACTO001","SU","738","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","804","Alinga St","1","3","1003","1","1"
"ACTO001","SU","742","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","808","Alinga St","1","3","1003","1","1"
"ACTO001","SU","746","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","812","Alinga St","1","3","1003","1","1"
"ACTO001","SU","750","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","816","Alinga St","1","3","1003","1","1"
"ACTO001","SU","754","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","820","Alinga St","1","3","1003","1","1"
"ACTO001","SU","758","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","824","Alinga St","1","3","1003","1","1"
"ACTO001","SU","762","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","828","Alinga St","1","3","1003","1","1"
"ACTO001","SU","766","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","832","Alinga St","1","3","1003","1","1"
"ACTO001","SU","770","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","836","Alinga St","1","3","1003","1","1"
"ACTO001","SU","774","Gungahlin Pl","0","3","1004","1","1"
"ACTO001","SU","840","Alinga St","1","3","1003","1","1"
"ACTO001","SU","778","Gungahlin Pl","0","3","1004","1","1"
"X1","SU","847","Well Station","1","3","1008","1","1"
"NIS","SU","848","Well Station","1","3","1009","1","1"
"NIS","SU","713","Well Station","0","4","1001","1","1"
"X1","SU","714","Gungahlin Pl","0","4","1002","1","1"
"ACTO001","SU","781","Alinga St","1","4","1003","1","1"
"ACTO001","SU","719","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","785","Alinga St","1","4","1003","1","1"
"ACTO001","SU","723","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","789","Alinga St","1","4","1003","1","1"
"ACTO001","SU","727","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","793","Alinga St","1","4","1003","1","1"
"ACTO001","SU","731","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","797","Alinga St","1","4","1003","1","1"
"ACTO001","SU","735","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","801","Alinga St","1","4","1003","1","1"
"ACTO001","SU","739","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","805","Alinga St","1","4","1003","1","1"
"ACTO001","SU","743","Gungahlin Pl","0","4","1004","1","1"
"ACTO001","SU","809","Alinga St","1","4","1003","1","1"
"ACTO001","SU","747","Gungahlin Pl","0","4","1004","1","1"
