route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4-10493,2019-COMBNXT-Weekday-01,35950170-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950171-2019-COMBNXT-Weekday-01,Belconnen,1,40246,1,1
4-10493,2019-COMBNXT-Weekday-01,35950172-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950173-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950174-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950175-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950176-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950177-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950178-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950179-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950180-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950181-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950182-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950183-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950184-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950185-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950186-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950187-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950188-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950189-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950190-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950191-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950192-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950193-2019-COMBNXT-Weekday-01,Woden,0,40244,1,0
4-10493,2019-COMBNXT-Weekday-01,35950194-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950195-2019-COMBNXT-Weekday-01,Woden,0,40244,1,1
4-10493,2019-COMBNXT-Weekday-01,35950196-2019-COMBNXT-Weekday-01,Woden,0,40244,1,0
4-10493,2019-COMBNXT-Weekday-01,35950197-2019-COMBNXT-Weekday-01,Woden,0,40244,1,1
4-10493,2019-COMBNXT-Weekday-01,35950198-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950199-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950200-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950201-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950202-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950203-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950204-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950205-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950206-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950207-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950208-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950209-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950210-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950211-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950212-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950213-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950214-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950215-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950216-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950217-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950218-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950219-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950220-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
4-10493,2019-COMBNXT-Weekday-01,35950221-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950222-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950223-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,0
4-10493,2019-COMBNXT-Weekday-01,35950224-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950225-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950226-2019-COMBNXT-Weekday-01,Tuggeranong,0,40226,1,1
4-10493,2019-COMBNXT-Weekday-01,35950227-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,0
4-10493,2019-COMBNXT-Weekday-01,35950228-2019-COMBNXT-Weekday-01,Belconnen,1,40227,1,1
