arrival.delay,arrival.time,arrival.uncertainty,departure.delay,departure.time,departure.uncertainty,scheduleRelationship,stopId,stopSequence,tripUpdate.trip.tripId,tripUpdate.timestamp,tripUpdate.delay
-6,2019-06-01 15:23:54,0,-6,2019-06-01 15:23:54,0,SCHEDULED,8129,13,780,2019-06-02 02:30:00,0
196,2019-06-01 15:57:16,0,196,2019-06-01 15:57:16,0,SCHEDULED,8100,13,718,2019-06-02 02:30:00,0
1,2019-06-01 16:24:01,0,1,2019-06-01 16:24:01,0,SCHEDULED,8129,13,784,2019-06-02 02:30:00,0
-9,2019-06-01 16:53:51,0,-9,2019-06-01 16:53:51,0,SCHEDULED,8100,13,722,2019-06-02 02:30:00,0
-9,2019-06-01 17:23:51,0,-9,2019-06-01 17:23:51,0,SCHEDULED,8129,13,788,2019-06-02 02:30:00,0
-4,2019-06-01 17:53:56,0,-4,2019-06-01 17:53:56,0,SCHEDULED,8100,13,726,2019-06-02 02:30:00,0
58,2019-06-01 18:24:58,0,58,2019-06-01 18:24:58,0,SCHEDULED,8129,13,792,2019-06-02 02:30:00,0
26,2019-06-01 18:54:26,0,26,2019-06-01 18:54:26,0,SCHEDULED,8100,13,730,2019-06-02 02:30:00,0
37,2019-06-01 19:24:37,0,37,2019-06-01 19:24:37,0,SCHEDULED,8129,13,796,2019-06-02 02:30:00,0
-4,2019-06-01 19:53:56,0,-4,2019-06-01 19:53:56,0,SCHEDULED,8100,13,734,2019-06-02 02:30:00,0
-1,2019-06-01 20:23:59,0,-1,2019-06-01 20:23:59,0,SCHEDULED,8129,13,800,2019-06-02 02:30:00,0
70,2019-06-01 20:55:10,0,70,2019-06-01 20:55:10,0,SCHEDULED,8100,13,738,2019-06-02 02:30:00,0
84,2019-06-01 21:25:24,0,84,2019-06-01 21:25:24,0,SCHEDULED,8129,13,804,2019-06-02 02:30:00,0
87,2019-06-01 21:55:27,0,87,2019-06-01 21:55:27,0,SCHEDULED,8100,13,742,2019-06-02 02:30:00,0
7,2019-06-01 22:24:07,0,7,2019-06-01 22:24:07,0,SCHEDULED,8129,13,808,2019-06-02 02:30:00,0
65,2019-06-01 22:55:05,0,65,2019-06-01 22:55:05,0,SCHEDULED,8100,13,746,2019-06-02 02:30:00,0
46,2019-06-01 23:24:46,0,46,2019-06-01 23:24:46,0,SCHEDULED,8129,13,812,2019-06-02 02:30:00,0
64,2019-06-01 23:55:04,0,64,2019-06-01 23:55:04,0,SCHEDULED,8100,13,750,2019-06-02 02:30:00,0
37,2019-06-02 00:24:37,0,37,2019-06-02 00:24:37,0,SCHEDULED,8129,13,816,2019-06-02 02:30:00,0
127,2019-06-02 00:56:07,0,127,2019-06-02 00:56:07,0,SCHEDULED,8100,13,754,2019-06-02 02:30:00,0
18,2019-06-02 01:24:18,0,18,2019-06-02 01:24:18,0,SCHEDULED,8129,13,820,2019-06-02 02:30:00,0
72,2019-06-02 01:55:12,0,72,2019-06-02 01:55:12,0,SCHEDULED,8100,13,758,2019-06-02 02:30:00,0
77,2019-06-02 02:25:17,0,77,2019-06-02 02:25:17,0,SCHEDULED,8129,13,824,2019-06-02 02:30:00,0
0,2019-06-02 02:30:00,1,0,2019-06-02 02:30:00,1,SCHEDULED,8129,1,762,2019-06-02 02:30:00,0
0,2019-06-02 03:00:00,1,0,2019-06-02 03:00:00,1,SCHEDULED,8100,1,828,2019-06-02 02:30:00,0
0,2019-06-02 03:30:00,1,0,2019-06-02 03:30:00,1,SCHEDULED,8129,1,766,2019-06-02 02:30:00,0
0,2019-06-02 04:00:00,1,0,2019-06-02 04:00:00,1,SCHEDULED,8100,1,832,2019-06-02 02:30:00,0
0,2019-06-02 04:30:00,1,0,2019-06-02 04:30:00,1,SCHEDULED,8129,1,770,2019-06-02 02:30:00,0
0,2019-06-02 05:00:00,1,0,2019-06-02 05:00:00,1,SCHEDULED,8100,1,836,2019-06-02 02:30:00,0
0,2019-06-02 05:30:00,1,0,2019-06-02 05:30:00,1,SCHEDULED,8129,1,774,2019-06-02 02:30:00,0
0,2019-06-02 06:00:00,1,0,2019-06-02 06:00:00,1,SCHEDULED,8100,1,840,2019-06-02 02:30:00,0
0,2019-06-02 06:30:00,1,0,2019-06-02 06:30:00,1,SCHEDULED,8129,1,778,2019-06-02 02:30:00,0
0,2019-06-02 06:57:00,1,0,2019-06-02 06:57:00,1,SCHEDULED,8100,1,847,2019-06-02 02:30:00,0
-26,2019-06-01 15:10:34,0,-26,2019-06-01 15:10:34,0,SCHEDULED,8100,5,714,2019-06-02 02:30:00,0
360,2019-06-01 15:45:00,0,360,2019-06-01 15:45:00,0,SCHEDULED,8129,13,781,2019-06-02 02:30:00,0
106,2019-06-01 16:10:46,0,106,2019-06-01 16:10:46,0,SCHEDULED,8100,13,719,2019-06-02 02:30:00,0
67,2019-06-01 16:40:07,0,67,2019-06-01 16:40:07,0,SCHEDULED,8129,13,785,2019-06-02 02:30:00,0
86,2019-06-01 17:10:26,0,86,2019-06-01 17:10:26,0,SCHEDULED,8100,13,723,2019-06-02 02:30:00,0
43,2019-06-01 17:39:43,0,43,2019-06-01 17:39:43,0,SCHEDULED,8129,13,789,2019-06-02 02:30:00,0
245,2019-06-01 18:13:05,0,245,2019-06-01 18:13:05,0,SCHEDULED,8100,13,727,2019-06-02 02:30:00,0
190,2019-06-01 18:42:10,0,190,2019-06-01 18:42:10,0,SCHEDULED,8129,13,793,2019-06-02 02:30:00,0
298,2019-06-01 19:13:58,0,298,2019-06-01 19:13:58,0,SCHEDULED,8100,13,731,2019-06-02 02:30:00,0
131,2019-06-01 19:41:11,0,131,2019-06-01 19:41:11,0,SCHEDULED,8129,13,797,2019-06-02 02:30:00,0
-4,2019-06-01 20:08:56,0,-4,2019-06-01 20:08:56,0,SCHEDULED,8100,13,735,2019-06-02 02:30:00,0
18,2019-06-01 20:39:18,0,18,2019-06-01 20:39:18,0,SCHEDULED,8129,13,801,2019-06-02 02:30:00,0
7,2019-06-01 21:09:07,0,7,2019-06-01 21:09:07,0,SCHEDULED,8100,13,739,2019-06-02 02:30:00,0
10,2019-06-01 21:39:10,0,10,2019-06-01 21:39:10,0,SCHEDULED,8129,13,805,2019-06-02 02:30:00,0
-20,2019-06-01 22:08:40,0,-20,2019-06-01 22:08:40,0,SCHEDULED,8100,13,743,2019-06-02 02:30:00,0
10,2019-06-01 22:39:10,0,10,2019-06-01 22:39:10,0,SCHEDULED,8129,13,809,2019-06-02 02:30:00,0
-7,2019-06-01 23:08:53,0,-7,2019-06-01 23:08:53,0,SCHEDULED,8100,13,747,2019-06-02 02:30:00,0
-10,2019-06-01 23:38:50,0,-10,2019-06-01 23:38:50,0,SCHEDULED,8129,13,813,2019-06-02 02:30:00,0
63,2019-06-02 00:10:03,0,63,2019-06-02 00:10:03,0,SCHEDULED,8100,13,751,2019-06-02 02:30:00,0
12,2019-06-02 00:39:12,0,12,2019-06-02 00:39:12,0,SCHEDULED,8129,13,817,2019-06-02 02:30:00,0
26,2019-06-02 01:09:26,0,26,2019-06-02 01:09:26,0,SCHEDULED,8100,13,755,2019-06-02 02:30:00,0
