Arrival Delay,Arrival Time,Arrival Uncertainty,Departure Delay,Departure Time,Departure Uncertainty, Schedule Relationship,Stop ID,Stop Sequence,Trip ID,Request Timestamp,Delay
38,2019-06-03 06:24:38,0,38,2019-06-03 06:24:38,0,SCHEDULED,8129,13,135,2019-06-03 17:02:15,0
17,2019-06-03 06:54:17,0,17,2019-06-03 06:54:17,0,SCHEDULED,8100,13,7,2019-06-03 17:02:15,0
-1,2019-06-03 07:23:59,0,-1,2019-06-03 07:23:59,0,SCHEDULED,8129,13,141,2019-06-03 17:02:15,0
6,2019-06-03 07:54:06,0,6,2019-06-03 07:54:06,0,SCHEDULED,8100,13,22,2019-06-03 17:02:15,0
46,2019-06-03 08:24:46,0,46,2019-06-03 08:24:46,0,SCHEDULED,8129,13,151,2019-06-03 17:02:15,0
-3,2019-06-03 08:53:57,0,-3,2019-06-03 08:53:57,0,SCHEDULED,8100,13,32,2019-06-03 17:02:15,0
35,2019-06-03 09:24:35,0,35,2019-06-03 09:24:35,0,SCHEDULED,8129,13,161,2019-06-03 17:02:15,0
-11,2019-06-03 09:53:49,0,-11,2019-06-03 09:53:49,0,SCHEDULED,8100,13,44,2019-06-03 17:02:15,0
11,2019-06-03 10:24:11,0,11,2019-06-03 10:24:11,0,SCHEDULED,8129,13,171,2019-06-03 17:02:15,0
36,2019-06-03 10:54:36,0,36,2019-06-03 10:54:36,0,SCHEDULED,8100,13,50,2019-06-03 17:02:15,0
-10,2019-06-03 11:23:50,0,-10,2019-06-03 11:23:50,0,SCHEDULED,8129,13,177,2019-06-03 17:02:15,0
-17,2019-06-03 11:53:43,0,-17,2019-06-03 11:53:43,0,SCHEDULED,8100,13,56,2019-06-03 17:02:15,0
108,2019-06-03 12:25:48,0,108,2019-06-03 12:25:48,0,SCHEDULED,8129,13,183,2019-06-03 17:02:15,0
54,2019-06-03 12:54:54,0,54,2019-06-03 12:54:54,0,SCHEDULED,8100,13,62,2019-06-03 17:02:15,0
-4,2019-06-03 13:23:56,0,-4,2019-06-03 13:23:56,0,SCHEDULED,8129,13,189,2019-06-03 17:02:15,0
16,2019-06-03 13:54:16,0,16,2019-06-03 13:54:16,0,SCHEDULED,8100,13,68,2019-06-03 17:02:15,0
59,2019-06-03 14:24:59,0,59,2019-06-03 14:24:59,0,SCHEDULED,8129,13,195,2019-06-03 17:02:15,0
10,2019-06-03 14:54:10,0,10,2019-06-03 14:54:10,0,SCHEDULED,8100,13,74,2019-06-03 17:02:15,0
42,2019-06-03 15:24:42,0,42,2019-06-03 15:24:42,0,SCHEDULED,8129,13,201,2019-06-03 17:02:15,0
67,2019-06-03 15:55:07,0,67,2019-06-03 15:55:07,0,SCHEDULED,8100,13,80,2019-06-03 17:02:15,0
137,2019-06-03 16:26:17,0,137,2019-06-03 16:26:17,0,SCHEDULED,8129,13,211,2019-06-03 17:02:15,0
199,2019-06-03 16:57:19,0,199,2019-06-03 16:57:19,0,SCHEDULED,8100,13,92,2019-06-03 17:02:15,0
2,2019-06-03 17:02:06,0,2,2019-06-03 17:02:26,0,SCHEDULED,8104,2,221,2019-06-03 17:02:15,0
0,2019-06-03 17:30:00,1,0,2019-06-03 17:30:00,1,SCHEDULED,8129,1,102,2019-06-03 17:02:15,0
0,2019-06-03 18:00:00,1,0,2019-06-03 18:00:00,1,SCHEDULED,8100,1,233,2019-06-03 17:02:15,0
0,2019-06-03 18:30:00,1,0,2019-06-03 18:30:00,1,SCHEDULED,8129,1,111,2019-06-03 17:02:15,0
0,2019-06-03 19:00:00,1,0,2019-06-03 19:00:00,1,SCHEDULED,8100,1,243,2019-06-03 17:02:15,0
0,2019-06-03 19:30:00,1,0,2019-06-03 19:30:00,1,SCHEDULED,8129,1,115,2019-06-03 17:02:15,0
0,2019-06-03 20:00:00,1,0,2019-06-03 20:00:00,1,SCHEDULED,8100,1,247,2019-06-03 17:02:15,0
0,2019-06-03 20:30:00,1,0,2019-06-03 20:30:00,1,SCHEDULED,8129,1,119,2019-06-03 17:02:15,0
0,2019-06-03 21:00:00,1,0,2019-06-03 21:00:00,1,SCHEDULED,8100,1,251,2019-06-03 17:02:15,0
0,2019-06-03 21:30:00,1,0,2019-06-03 21:30:00,1,SCHEDULED,8129,1,123,2019-06-03 17:02:15,0
0,2019-06-03 22:00:00,1,0,2019-06-03 22:00:00,1,SCHEDULED,8100,1,255,2019-06-03 17:02:15,0
0,2019-06-03 22:30:00,1,0,2019-06-03 22:30:00,1,SCHEDULED,8129,1,127,2019-06-03 17:02:15,0
0,2019-06-03 23:00:00,1,0,2019-06-03 23:00:00,1,SCHEDULED,8100,1,259,2019-06-03 17:02:15,0
0,2019-06-03 23:30:00,1,0,2019-06-03 23:30:00,1,SCHEDULED,8129,1,131,2019-06-03 17:02:15,0
0,2019-06-04 00:00:00,1,0,2019-06-04 00:00:00,1,SCHEDULED,8100,1,266,2019-06-03 17:02:15,0
104,2019-06-03 06:12:44,0,104,2019-06-03 06:12:44,0,SCHEDULED,8100,5,4,2019-06-03 17:02:15,0
48,2019-06-03 06:39:48,0,48,2019-06-03 06:39:48,0,SCHEDULED,8129,13,136,2019-06-03 17:02:15,0
23,2019-06-03 07:09:23,0,23,2019-06-03 07:09:23,0,SCHEDULED,8100,13,12,2019-06-03 17:02:15,0
37,2019-06-03 07:42:37,0,37,2019-06-03 07:42:37,0,SCHEDULED,8129,13,144,2019-06-03 17:02:15,0
76,2019-06-03 08:13:16,0,76,2019-06-03 08:13:16,0,SCHEDULED,8100,13,25,2019-06-03 17:02:15,0
19,2019-06-03 08:42:19,0,19,2019-06-03 08:42:19,0,SCHEDULED,8129,13,154,2019-06-03 17:02:15,0
-6,2019-06-03 09:11:54,0,-6,2019-06-03 09:11:54,0,SCHEDULED,8100,13,35,2019-06-03 17:02:15,0
13,2019-06-03 09:44:13,0,13,2019-06-03 09:44:13,0,SCHEDULED,8129,13,165,2019-06-03 17:02:15,0
-8,2019-06-03 10:13:52,0,-8,2019-06-03 10:13:52,0,SCHEDULED,8100,13,46,2019-06-03 17:02:15,0
14,2019-06-03 10:44:14,0,14,2019-06-03 10:44:14,0,SCHEDULED,8129,13,173,2019-06-03 17:02:15,0
-36,2019-06-03 11:13:24,0,-36,2019-06-03 11:13:24,0,SCHEDULED,8100,13,52,2019-06-03 17:02:15,0
