arrival.delay,arrival.time,arrival.uncertainty,departure.delay,departure.time,departure.uncertainty,scheduleRelationship,stopId,stopSequence,tripUpdate.trip.tripId,tripUpdate.timestamp,tripUpdate.delay
1,2019-06-02 08:11:10,0,1,2019-06-02 08:11:30,0,SCHEDULED,8114,6,780,2019-06-02 08:10:45,0
0,2019-06-02 08:30:00,1,0,2019-06-02 08:30:00,1,SCHEDULED,8129,1,718,2019-06-02 08:10:45,0
0,2019-06-02 09:00:00,1,0,2019-06-02 09:00:00,1,SCHEDULED,8100,1,784,2019-06-02 08:10:45,0
0,2019-06-02 09:30:00,1,0,2019-06-02 09:30:00,1,SCHEDULED,8129,1,722,2019-06-02 08:10:45,0
0,2019-06-02 10:00:00,1,0,2019-06-02 10:00:00,1,SCHEDULED,8100,1,788,2019-06-02 08:10:45,0
0,2019-06-02 10:30:00,1,0,2019-06-02 10:30:00,1,SCHEDULED,8129,1,726,2019-06-02 08:10:45,0
0,2019-06-02 11:00:00,1,0,2019-06-02 11:00:00,1,SCHEDULED,8100,1,792,2019-06-02 08:10:45,0
0,2019-06-02 11:30:00,1,0,2019-06-02 11:30:00,1,SCHEDULED,8129,1,730,2019-06-02 08:10:45,0
0,2019-06-02 12:00:00,1,0,2019-06-02 12:00:00,1,SCHEDULED,8100,1,796,2019-06-02 08:10:45,0
0,2019-06-02 12:30:00,1,0,2019-06-02 12:30:00,1,SCHEDULED,8129,1,734,2019-06-02 08:10:45,0
0,2019-06-02 13:00:00,1,0,2019-06-02 13:00:00,1,SCHEDULED,8100,1,800,2019-06-02 08:10:45,0
0,2019-06-02 13:30:00,1,0,2019-06-02 13:30:00,1,SCHEDULED,8129,1,738,2019-06-02 08:10:45,0
0,2019-06-02 14:00:00,1,0,2019-06-02 14:00:00,1,SCHEDULED,8100,1,804,2019-06-02 08:10:45,0
0,2019-06-02 14:30:00,1,0,2019-06-02 14:30:00,1,SCHEDULED,8129,1,742,2019-06-02 08:10:45,0
0,2019-06-02 15:00:00,1,0,2019-06-02 15:00:00,1,SCHEDULED,8100,1,808,2019-06-02 08:10:45,0
0,2019-06-02 15:30:00,1,0,2019-06-02 15:30:00,1,SCHEDULED,8129,1,746,2019-06-02 08:10:45,0
0,2019-06-02 16:00:00,1,0,2019-06-02 16:00:00,1,SCHEDULED,8100,1,812,2019-06-02 08:10:45,0
0,2019-06-02 16:30:00,1,0,2019-06-02 16:30:00,1,SCHEDULED,8129,1,750,2019-06-02 08:10:45,0
0,2019-06-02 17:00:00,1,0,2019-06-02 17:00:00,1,SCHEDULED,8100,1,816,2019-06-02 08:10:45,0
0,2019-06-02 17:30:00,1,0,2019-06-02 17:30:00,1,SCHEDULED,8129,1,754,2019-06-02 08:10:45,0
0,2019-06-02 18:00:00,1,0,2019-06-02 18:00:00,1,SCHEDULED,8100,1,820,2019-06-02 08:10:45,0
0,2019-06-02 18:30:00,1,0,2019-06-02 18:30:00,1,SCHEDULED,8129,1,758,2019-06-02 08:10:45,0
0,2019-06-02 19:00:00,1,0,2019-06-02 19:00:00,1,SCHEDULED,8100,1,824,2019-06-02 08:10:45,0
0,2019-06-02 19:30:00,1,0,2019-06-02 19:30:00,1,SCHEDULED,8129,1,762,2019-06-02 08:10:45,0
0,2019-06-02 20:00:00,1,0,2019-06-02 20:00:00,1,SCHEDULED,8100,1,828,2019-06-02 08:10:45,0
0,2019-06-02 20:30:00,1,0,2019-06-02 20:30:00,1,SCHEDULED,8129,1,766,2019-06-02 08:10:45,0
0,2019-06-02 21:00:00,1,0,2019-06-02 21:00:00,1,SCHEDULED,8100,1,832,2019-06-02 08:10:45,0
0,2019-06-02 21:30:00,1,0,2019-06-02 21:30:00,1,SCHEDULED,8129,1,770,2019-06-02 08:10:45,0
0,2019-06-02 22:00:00,1,0,2019-06-02 22:00:00,1,SCHEDULED,8100,1,836,2019-06-02 08:10:45,0
0,2019-06-02 22:30:00,1,0,2019-06-02 22:30:00,1,SCHEDULED,8129,1,774,2019-06-02 08:10:45,0
0,2019-06-02 23:00:00,1,0,2019-06-02 23:00:00,1,SCHEDULED,8100,1,840,2019-06-02 08:10:45,0
0,2019-06-02 23:30:00,1,0,2019-06-02 23:30:00,1,SCHEDULED,8129,1,778,2019-06-02 08:10:45,0
0,2019-06-02 23:57:00,1,0,2019-06-02 23:57:00,1,SCHEDULED,8100,1,847,2019-06-02 08:10:45,0
-26,2019-06-02 08:10:34,0,-26,2019-06-02 08:10:34,0,SCHEDULED,8100,5,714,2019-06-02 08:10:45,0
0,2019-06-02 08:15:00,1,0,2019-06-02 08:15:00,1,SCHEDULED,8100,1,781,2019-06-02 08:10:45,0
0,2019-06-02 08:45:00,1,0,2019-06-02 08:45:00,1,SCHEDULED,8129,1,719,2019-06-02 08:10:45,0
0,2019-06-02 09:15:00,1,0,2019-06-02 09:15:00,1,SCHEDULED,8100,1,785,2019-06-02 08:10:45,0
0,2019-06-02 09:45:00,1,0,2019-06-02 09:45:00,1,SCHEDULED,8129,1,723,2019-06-02 08:10:45,0
0,2019-06-02 10:15:00,1,0,2019-06-02 10:15:00,1,SCHEDULED,8100,1,789,2019-06-02 08:10:45,0
0,2019-06-02 10:45:00,1,0,2019-06-02 10:45:00,1,SCHEDULED,8129,1,727,2019-06-02 08:10:45,0
0,2019-06-02 11:15:00,1,0,2019-06-02 11:15:00,1,SCHEDULED,8100,1,793,2019-06-02 08:10:45,0
0,2019-06-02 11:45:00,1,0,2019-06-02 11:45:00,1,SCHEDULED,8129,1,731,2019-06-02 08:10:45,0
0,2019-06-02 12:15:00,1,0,2019-06-02 12:15:00,1,SCHEDULED,8100,1,797,2019-06-02 08:10:45,0
0,2019-06-02 12:45:00,1,0,2019-06-02 12:45:00,1,SCHEDULED,8129,1,735,2019-06-02 08:10:45,0
0,2019-06-02 13:15:00,1,0,2019-06-02 13:15:00,1,SCHEDULED,8100,1,801,2019-06-02 08:10:45,0
0,2019-06-02 13:45:00,1,0,2019-06-02 13:45:00,1,SCHEDULED,8129,1,739,2019-06-02 08:10:45,0
0,2019-06-02 14:15:00,1,0,2019-06-02 14:15:00,1,SCHEDULED,8100,1,805,2019-06-02 08:10:45,0
